Ciudad;Provincia;matched_ciudad;measure value
San Carlos de Bariloche;Río Negro;San Carlos de Bariloche;0
San Cayetano;Buenos Aires;San Cayetano;0
San Clemente;Buenos Aires;San Clemente;0
San Clemente del Tuyú;Buenos Aires;San Clemente del Tuyú;0
San Cristóbal;Santa Fe;San Cristóbal;0
San Fernando;Buenos Aires;San Fernando;0
San Fernando;Catamarca;San Fernando;0
San Francisco;Córdoba;San Francisco;0
San Francisco  ;Córdoba;San Francisco;2
San Genaro;Buenos Aires;San Genaro;0
San Genaro;Santa Fe;San Genaro;0
San Genaro Norte;Santa Fe;San Genaro Norte;0
San Gregorio;Santa Fe;San Gregorio;0
San Guillermo;Santa Fe;San Guillermo;0
San Isidro;Buenos Aires;San Isidro;0
San Isidro;Catamarca;San Isidro;0
San Javier;Misiones;San Javier;0
San Javier;Santa Fe;San Javier;0
San Jenaro Norte;Santa Fe;San Genaro Norte;1
San Jerónimo Norte;Santa Fe;San Jerónimo Norte;0
San Jorge;Santa Fe;San Jorge;0
San Jorge;Santa Fe ;San Jorge;0
San José;Entre Ríos;San José;0
San José  ;Entre Ríos;San José;2
San José de Feliciano;Entre Ríos;San José de Feliciano;0
San José de Jáchal;San Juan;San José de Jáchal;0
San Juan;San Juan;San Juan;0
San Justo;Buenos Aires;San Justo;0
San Justo;Entre Ríos;San Justo;0
San Justo;Santa Fe;San Justo;0
San Justo;Santa Fe ;San Justo;0
San Justo ;Buenos Aires;San Justo;1
San Jóse de la Esquina;Santa Fe;San José de la Esquina;2
San Lorenzo;Santa Fe;San Lorenzo;0
San Luis;San Luis;San Luis;0
San Luis;San Luis ;San Luis;0
San Marcos Sierra;Córdoba;San Marcos Sierra;0
San Martín;Buenos Aires;San Martín;0
San Martín;Mendoza;San Martín;0
San Martín ;Buenos Aires;San Martín I;1
San Martín  ;Buenos Aires;San Martín I;1
San Martín de los Andes;Neuquén;San Martín de los Andes;0
San Martín de los Andes;Neuquén ;San Martín de los Andes;0
San Matín;Buenos Aires;San Martín;1
San Miguel;Buenos Aires;San Miguel;0
San Miguel;Corrientes;San Miguel;0
San Miguel  ;Buenos Aires;San Miguel;2
San Miguel de Tucumán;Tucumán;San Miguel de Tucumán;0
San Miguel del Monte;Buenos Aires;San Miguel del Monte;0
San Mimguel de Tucumán;Tucumán;San Miguel de Tucumán;1
San Nicolás;Buenos Aires;San Nicolás;0
San Nicolás ;Buenos Aires;San Nicolás;1
San Nicolás de los Arroyos;Buenos Aires;San Nicolás de los Arroyos;0
San Pedro;Buenos Aires;San Pedro;0
San Pedro;Jujuy;San Pedro;0
San rafael;Mendoza;San Rafael;0
San Rafael;Mendoza;San Rafael;0
San rafael;Mendoza;San Rafael;0
San Rafael;Mendoza;San Rafael;0
San rafael;Mendoza;San Rafael;0
San Rafael;Mendoza;San Rafael;0
San rafael;Mendoza;San Rafael;0
San Rafael;Mendoza;San Rafael;0
San Ramón;Salta;San Ramón;0
San Roque;Corrientes;San Roque;0
San Salvador;Entre Ríos;San Salvador;0
San Salvador ;Entre Ríos;San Salvador;1
San Salvador  ;Entre Ríos;San Salvador;2
San Salvador de Jujuy;Jujuy;San Salvador de Jujuy;0
San Vicente;Buenos Aires;San Vicente;0
San Vicente;Santa Fe;San Vicente;0
Sana Fe;Santa Fe ;Santa Fe;1
Sancti Spiritu;Santa Fe;Sancti Spiritu;0
Santa Ana;Tucumán;Santa Ana;0
Santa Catalina;Córdoba;Santa Catalina;0
Santa Cruz;Santa Cruz;Santa Cruz;0
Santa Elena;Entre Ríos;Santa Elena;0
Santa Eufemia;Córdoba;Santa Eufemia;0
Santa Fe;Santa Fe;Santa Fe;0
Santa Fe;Santa fe;Santa Fe;0
Santa Fe;Santa Fe;Santa Fe;0
Santa Fe;Santa Fe ;Santa Fe;0
Santa Fe ;Santa Fe;Santa Fe;1
Santa Fe ;Santa Fe ;Santa Fe;1
Santa Isabel;Santa Fe;Santa Isabel;0
Santa María;Buenos Aires;Santa María;0
Santa María;Catamarca;Santa María;0
Santa Rosa;Corrientes;Santa Rosa;0
Santa Rosa;La Pampa;Santa Rosa;0
Santa Rosa del Conlara;San Juan;Santa Rosa del Conlara;0
Santa Sylvina;Chaco;Santa Sylvina;0
Santa Teresa;Santa Fe;Santa Teresa;0
Santa Teresita;Buenos Aires;Santa Teresa;2
Santiago del Estero;Santiago del Estero;Santiago del Estero;0
Santo Tomé;Corrientes;Santo Tomé;0
Santo Tomé;Santa Fe;Santo Tomé;0
Sastre;Santa fe;Sastre;0
Sastre;Santa Fe;Sastre;0
Sauce;Corrientes;Sauce;0
Sauce de Luna;Entre Ríos;Sauce de Luna;0
Segui;Entre Ríos;Seguí;1
Seguí;Entre Ríos;Seguí;0
Serrano;Córdoba;Serrano;0
Sierra de la Ventana;Buenos Aires;Sierra de la Ventana;0
Sierra Grande;Rio Negro;Sierra Grande;0
Simoca;Tucumán;Simoca;0
Suardi;Santa Fe;Suardi;0
Suchales;Santa Fe;Sunchales;1
Suipacha;Buenos Aires;Suipacha;0
Sumampa;Santiago del Estero;Sumampa;0
Sunchales;Santa Fe;Sunchales;0
Sunchales;Santa Fe ;Sunchales;0
Tacuarendí;Santa Fe;Tacuarendí;0
Tafi Viejo;Tucumán;Tafí Viejo;1
Tandil;Buenos Aires;Tandil;0
Tapalqué;Buenos Aires;Tapalqué;0
Tartagal;Salta;Tartagal;0
Teodelina;Santa Fe;Teodelina;0
Teodelina;Santa Fe ;Teodelina;0
Ticino;Córdoba;Ticino;0
Tigre;Buenos Aires;Tigre;0
Tilcara;Jujuy;Tilcara;0
Toay;La Pampa;Toay;0
Tolhuin;Tierra del Fuego;Tolhuin;0
Tornquist;Buenos Aires;Tornquist;0
Tostado;Santa Fe;Tostado;0
Totoras;Santa Fe;Totoras;0
Trelew;Chubut;Trelew;0
Trelew ;Chubut;Trelew;1
Trenque Lauquen;Buenos Aires;Trenque Lauquen;0
Trenque Lauquen ;Buenos Aires;Trenque Lauquen;1
Tres Algarrobos;Buenos Aires;Tres Algarrobos;0
Tres Arroyos;Buenos Aires;Tres Arroyos;0
Tres de Febrero;Buenos Aires;Tres de Febrero;0
Tres Isletas;Chaco;Tres Isletas;0
Tres Lomas;Buenos Aires;Tres Lomas;0
Tres Lomas ;Buenos Aires;Tres Lomas;1
Tucumán;Tucumán;Tunuyán;2
Tunuyán;Mendoza;Tunuyán;0
Tupungato;Mendoza;Tupungato;0
Ucacha;Córdoba;Ucacha;0
Ullún;San Juan;Allen;2
Unquillo;Córdoba;Unquillo;0
Urdinarrain;Entre Ríos;Urdinarrain;0
Ushuaia;Tierra del Fuego;Ushuaia;0
Uspallata;Mendoza;Uspallata;0
Valcheta;Rio Negro;Valcheta;0
Valcheta;Río Negro;Valcheta;0
Vedia;Buenos Aires;Vedia;0
Venado Tuerto;Santa Fe;Venado Tuerto;0
Venado Tuerto;Santa fe;Venado Tuerto;0
Venado Tuerto;Santa Fe;Venado Tuerto;0
Venado Tuerto;Santa fe;Venado Tuerto;0
Venado Tuerto;Santa Fe;Venado Tuerto;0
Vera;Santa Fe;Vera;0
Vertiz;La Pampa;Vértiz;1
Verónica;Buenos Aires;Verónica;0
Viale;Entre Ríos;Viale;0
Vicente López;Buenos Aires;Vicente López;0
Victoria;Buenos Aires;Victoria;0
Victoria;Entre Ríos;Victoria;0
Victorica;La Pampa;Victorica;0
Vicuña Mackenna;Córdoba;Vicuña Mackenna;0
Viedma;Rio Negro;Viedma;0
Viedma;Río Negro;Viedma;0
Villa Adelina;Buenos Aires;Villa Amelia;2
Villa Allende;Córdoba;Villa Allende;0
Villa Angela;Chaco;Villa Angela;0
Villa Berthet;Chaco;Villa Berthet;0
Villa Carlos Paz;Córdoba;Villa Carlos Paz;0
Villa Cañas;Santa Fe;Villa Cañás;1
Villa Celina;Buenos Aires;Villa Elisa;2
Villa Constitucion;Santa Fe;Villa Constitución;1
Villa Constitución;Santa Fe;Villa Constitución;0
Villa de Soto;Córdoba;Villa de Soto;0
Villa del Carmen;San Luis;Villa del Carmen;0
Villa del Rosario;Córdoba;Villa del Rosario;0
Villa del Totoral;Córdoba;Villa del Totoral;0
Villa Dolores;Córdoba;Villa Dolores;0
Villa el Chocón;Neuquén;Villa El Chocón;0
Villa Elisa;Entre Ríos;Villa Elisa;0
Villa Eloisa;Santa Fe;Villa Eloísa;1
Villa Gesel;Buenos Aires;Villa Gesell;1
Villa Gesell;Buenos Aires;Villa Gesell;0
Villa Giardino;Córdoba;Villa Giardino;0
Villa Gobernador Gálvez;Santa Fe;Villa Gobernador Gálvez;0
Villa Gobernador Gálvez;Santa Fe ;Villa Gobernador Gálvez;0
Villa Huidobro;Córdoba;Villa Huidobro;0
Villa Iris;Buenos Aires;Villa Iris;0
Villa la Angostura;Neuquén;Villa La Angostura;0
Villa La Angostura;Neuquén;Villa La Angostura;0
Villa la Angostura;Neuquén;Villa La Angostura;0
Villa La Angostura;Neuquén;Villa La Angostura;0
Villa la Angostura;Neuquén;Villa La Angostura;0
Villa Libertador San Martín;Entre Ríos;Villa Libertador San Martín;0
Villa Madero;Buenos Aires;Villa Mantero;2
Villa Martelli;Buenos Aires;Villa Castelli;2
Villa María;Córdoba;Villa María;0
Villa Maza;Buenos Aires;Villa Ana;2
Villa Mercedes;San Luis;Villa Mercedes;0
Villa Nueva;Córdoba;Villa Nueva;0
Villa Ocampo;Santa Fe;Villa Ocampo;0
Villa Pehuenia;Neuquén;Villa Pehuenia;0
Villa Regina;Rio Negro;Villa Regina;0
Villa Regina;Río Negro;Villa Regina;0
Villa San José;Entre Ríos;Villa San José;0
Villa Santa Rosa;Córdoba;Villa Santa Rosa;0
Villa Unión;La Rioja;Villa Unión;0
Villa Valeria;Córdoba;Villa Valeria;0
Villa Ángela;Chaco;Villa Angela;1
Villaguay;Entre Ríos;Villaguay;0
Villalonga;Buenos Aires;Villalonga;0
Villas Cañas;Santa Fe;Villa Cañás;2
Wheelwright;Santa Fe;Wheelwright;0
Wheelwright;Santa Fe ;Wheelwright;0
Whellwright;Santa Fe;Wheelwright;1
Wilde;Buenos Aires;Balde;2
Winifreda;La Pampa;Winifreda;0
Zapala;Neuquén;Zapala;0
Zárate;Buenos Aires;Zárate;0
