Ciudad;Provincia
Tristán Suárez;Buenos Aires
Tucumán;Tucumán
Tunuyán;Mendoza
Tupungato;Mendoza
Ucacha;Córdoba
Ullún;San Juan
Unquillo;Córdoba
Urdinarrain;Entre Ríos
Ushuaia;Tierra del Fuego
Uspallata;Mendoza
Va. Cura Brochero;Córdoba
Va. Gral. Belgrano;Córdoba
Valcheta;Rio Negro
Valcheta;Río Negro
Valentín Alsina;Buenos Aires
Vedia;Buenos Aires
Venado Tuerto;Santa Fe
Venado Tuerto;Santa fe
Venado Tuerto;Santa Fe
Venado Tuerto;Santa fe
Venado Tuerto;Santa Fe
Vera;Santa Fe
Vertiz;La Pampa
Verónica;Buenos Aires
Viale;Entre Ríos
Vicente López;Buenos Aires
Victoria;Buenos Aires
Victoria;Entre Ríos
Victorica;La Pampa
Vicuña Mackenna;Córdoba
Viedma;Rio Negro
Viedma;Río Negro
Villa Adelina;Buenos Aires
Villa Allende;Córdoba
Villa Angela;Chaco
Villa Ballester;Buenos Aires
Villa Berthet;Chaco
Villa Bosch;Buenos Aires
Villa Carlos Paz;Córdoba
Villa Cañas;Santa Fe
Villa Celina;Buenos Aires
Villa Constitucion;Santa Fe
Villa Constitución;Santa Fe
Villa de Merlo;San Juan
Villa de Merlo;San Luis
Villa de Soto;Córdoba
Villa del Carmen;San Luis
Villa del Rosario;Córdoba
Villa del Totoral;Córdoba
Villa Dolores;Córdoba
Villa Dominico;Buenos Aires
Villa el Chocón;Neuquén
Villa Elisa;Entre Ríos
Villa Eloisa;Santa Fe
Villa Gdor Gálvez;Santa Fe
Villa Gesel;Buenos Aires
Villa Gesell;Buenos Aires
Villa Giardino;Córdoba
Villa Gobernador Gálvez;Santa Fe
Villa Gobernador Gálvez;Santa Fe 
Villa Gral. Belgrano;Córdoba
Villa Huidobro;Córdoba
Villa Iris;Buenos Aires
Villa Krause;San Juan
Villa la Angostura;Neuquén
Villa La Angostura;Neuquén
Villa la Angostura;Neuquén
Villa La Angostura;Neuquén
Villa la Angostura;Neuquén
Villa Libertador San Martín;Entre Ríos
Villa Luzuriaga, La Matanza;Buenos Aires
Villa Lynch;Buenos Aires
Villa Madero;Buenos Aires
Villa Maipú;Buenos Aires
Villa Martelli;Buenos Aires
Villa María;Córdoba
Villa Maza;Buenos Aires
Villa Mercedes;San Luis
Villa Nueva;Córdoba
Villa Nueva de Guaymallén;Mendoza
Villa Ocampo;Santa Fe
Villa Pehuenia;Neuquén
Villa Regina;Rio Negro
Villa Regina;Río Negro
Villa San José;Entre Ríos
Villa Santa Rosa;Córdoba
Villa Sáenz Peña;Buenos Aires
Villa Unión;La Rioja
Villa Valeria;Córdoba
Villa Valle María;Entre Ríos
Villa Ángela;Chaco
Villaguay;Entre Ríos
Villalonga;Buenos Aires
Villas Cañas;Santa Fe
Virreyes;Buenos Aires
VY de Calamuchita;Córdoba
Wheelwright;Santa Fe
Wheelwright;Santa Fe 
Whellwright;Santa Fe
Wilde;Buenos Aires
Winifreda;La Pampa
Yerba Buena;Tucumán
Zapala;Neuquén
Zárate;Buenos Aires
